episode,team_id,team_name,value_pick,synergy,late_bonus,panic_penalty,block_reward,waste_penalty,balance_bonus,season_total,transfer_total,TOTAL,budget_wasted_cr,final_position,squad_balance_score
17,RCB,RCB,1575.5281,603.0,0.0,0.0,220.0,0.0,15.0,215.0,0.0,2628.5281,38.0,2,1.0
17,KKR,KKR,1386.721,618.0,0.0,0.0,180.0,0.0,15.0,105.0,0.0,2304.721,38.0,6,1.0
17,DC,DC,1164.6738,450.0,0.0,0.0,180.0,0.0,15.0,250.0,0.0,2059.6738,46.7,4,1.0
17,RR,RR,1444.5426,663.0,0.0,0.0,190.0,0.0,-5.0,260.0,0.0,2552.5426,43.2,1,0.625
17,PBKS,PBKS,875.9718,282.0,0.0,0.0,150.0,-10.0,-5.0,105.0,0.0,1397.9718,51.1,5,0.9375
17,SRH,SRH,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,-20.0,0.0,-35.0,75.3,8,0.4375
18,MI,MI,981.2597,276.0,0.0,0.0,140.0,0.0,15.0,150.0,0.0,1562.2597,51.0,4,1.0
18,CSK,CSK,1453.4351,606.0,0.0,0.0,240.0,0.0,-5.0,165.0,0.0,2459.4351,37.1,3,0.9375
18,RCB,RCB,1432.2128,441.0,0.0,0.0,190.0,0.0,15.0,315.0,0.0,2393.2128,46.7,2,1.0
18,KKR,KKR,1385.6871,390.0,0.0,0.0,190.0,0.0,-5.0,120.0,0.0,2080.6871,52.9,5,0.8125
18,DC,DC,1303.3754,591.0,0.0,0.0,220.0,0.0,15.0,230.0,0.0,2359.3754,39.4,1,1.0
18,RR,RR,1147.7377,357.0,0.0,0.0,190.0,0.0,15.0,90.0,0.0,1799.7377,53.6,6,1.0
18,PBKS,PBKS,1251.0537,465.0,0.0,0.0,190.0,0.0,15.0,70.0,0.0,1991.0537,47.6,7,1.0
18,SRH,SRH,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,-20.0,0.0,-35.0,83.0,8,0.375
19,MI,MI,1723.7901,543.0,0.0,0.0,210.0,0.0,15.0,40.0,0.0,2531.7901,50.0,7,1.0
19,CSK,CSK,1498.6276,501.0,0.0,0.0,150.0,0.0,15.0,215.0,0.0,2379.6276,45.7,2,1.0
19,RCB,RCB,1320.3701,465.0,0.0,0.0,160.0,0.0,-5.0,150.0,0.0,2090.3701,44.6,3,0.9375
19,KKR,KKR,1626.6588,534.0,0.0,0.0,210.0,0.0,15.0,150.0,0.0,2535.6588,50.2,4,1.0
19,DC,DC,1500.5869,633.0,0.0,0.0,200.0,0.0,-5.0,360.0,0.0,2688.5869,40.7,1,0.9375
19,RR,RR,1024.3395,342.0,0.0,0.0,130.0,0.0,15.0,120.0,0.0,1631.3395,45.2,5,1.0
19,PBKS,PBKS,1151.3459,330.0,0.0,0.0,110.0,0.0,-5.0,105.0,0.0,1691.3459,54.1,6,0.75
19,SRH,SRH,0.0,0.0,0.0,0.0,0.0,-10.0,-5.0,-20.0,0.0,-35.0,85.4,8,0.25
